Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,1446.82,1446.82,1446.82,1446.82,000,1446.82
2015-12-29,1452.95,1452.95,1452.95,1452.95,000,1452.95
2015-12-28,1434.06,1434.06,1434.06,1434.06,000,1434.06
2015-12-23,1446.69,1446.69,1446.69,1446.69,000,1446.69
2015-12-22,1413.74,1413.74,1413.74,1413.74,000,1413.74
2015-12-21,1419.13,1419.13,1419.13,1419.13,000,1419.13
2015-12-18,1422.63,1422.63,1422.63,1422.63,000,1422.63
2015-12-17,1438.32,1438.32,1438.32,1438.32,000,1438.32
2015-12-16,1428.02,1428.02,1428.02,1428.02,000,1428.02
2015-12-15,1426.47,1426.47,1426.47,1426.47,000,1426.47
2015-12-14,1389.26,1389.26,1389.26,1389.26,000,1389.26
2015-12-11,1401.14,1401.14,1401.14,1401.14,000,1401.14
2015-12-10,1433.41,1433.41,1433.41,1433.41,000,1433.41
2015-12-09,1440.94,1440.94,1440.94,1440.94,000,1440.94
2015-12-08,1454.99,1454.99,1454.99,1454.99,000,1454.99
2015-12-07,1494.52,1494.52,1494.52,1494.52,000,1494.52
2015-12-04,1485.32,1485.32,1485.32,1485.32,000,1485.32
2015-12-03,1502.41,1502.41,1502.41,1502.41,000,1502.41
2015-12-02,1533.87,1533.87,1533.87,1533.87,000,1533.87
2015-12-01,1530.52,1530.52,1530.52,1530.52,000,1530.52
2015-11-30,1536.05,1536.05,1536.05,1536.05,000,1536.05
2015-11-27,1522.00,1522.00,1522.00,1522.00,000,1522.00
2015-11-26,1522.28,1522.28,1522.28,1522.28,000,1522.28
2015-11-25,1506.52,1506.52,1506.52,1506.52,000,1506.52
2015-11-24,1488.89,1488.89,1488.89,1488.89,000,1488.89
2015-11-23,1515.80,1515.80,1515.80,1515.80,000,1515.80
2015-11-20,1521.87,1521.87,1521.87,1521.87,000,1521.87
2015-11-19,1512.77,1512.77,1512.77,1512.77,000,1512.77
2015-11-18,1514.18,1514.18,1514.18,1514.18,000,1514.18
2015-11-17,1513.93,1513.93,1513.93,1513.93,000,1513.93
2015-11-16,1479.04,1479.04,1479.04,1479.04,000,1479.04
2015-11-13,1476.21,1476.21,1476.21,1476.21,000,1476.21
2015-11-12,1488.40,1488.40,1488.40,1488.40,000,1488.40
2015-11-11,1511.46,1511.46,1511.46,1511.46,000,1511.46
2015-11-10,1499.40,1499.40,1499.40,1499.40,000,1499.40
2015-11-09,1511.55,1511.55,1511.55,1511.55,000,1511.55
2015-11-06,1526.49,1526.49,1526.49,1526.49,000,1526.49
2015-11-05,1523.25,1523.25,1523.25,1523.25,000,1523.25
2015-11-04,1529.43,1529.43,1529.43,1529.43,000,1529.43
2015-11-03,1507.45,1507.45,1507.45,1507.45,000,1507.45
2015-11-02,1502.44,1502.44,1502.44,1502.44,000,1502.44
2015-10-30,1499.23,1499.23,1499.23,1499.23,000,1499.23
2015-10-29,1495.86,1495.86,1495.86,1495.86,000,1495.86
2015-10-28,1499.64,1499.64,1499.64,1499.64,000,1499.64
2015-10-27,1487.03,1487.03,1487.03,1487.03,000,1487.03
2015-10-26,1506.16,1506.16,1506.16,1506.16,000,1506.16
2015-10-23,1506.59,1506.59,1506.59,1506.59,000,1506.59
2015-10-22,1484.47,1484.47,1484.47,1484.47,000,1484.47
2015-10-21,1452.09,1452.09,1452.09,1452.09,000,1452.09
2015-10-20,1466.67,1466.67,1466.67,1466.67,000,1466.67
2015-10-19,1458.00,1458.00,1458.00,1458.00,000,1458.00
2015-10-16,1452.36,1452.36,1452.36,1452.36,000,1452.36
2015-10-15,1453.87,1453.87,1453.87,1453.87,000,1453.87
2015-10-14,1442.75,1442.75,1442.75,1442.75,000,1442.75
2015-10-13,1460.11,1460.11,1460.11,1460.11,000,1460.11
2015-10-12,1481.43,1481.43,1481.43,1481.43,000,1481.43
2015-10-09,1483.74,1483.74,1483.74,1483.74,000,1483.74
2015-10-08,1464.49,1464.49,1464.49,1464.49,000,1464.49
2015-10-07,1452.01,1452.01,1452.01,1452.01,000,1452.01
2015-10-06,1457.15,1457.15,1457.15,1457.15,000,1457.15
2015-10-05,1456.97,1456.97,1456.97,1456.97,000,1456.97
2015-10-02,1412.86,1412.86,1412.86,1412.86,000,1412.86
2015-10-01,1404.45,1404.45,1404.45,1404.45,000,1404.45
2015-09-30,1416.89,1416.89,1416.89,1416.89,000,1416.89
2015-09-29,1391.88,1391.88,1391.88,1391.88,000,1391.88
2015-09-28,1389.38,1389.38,1389.38,1389.38,000,1389.38
2015-09-25,1418.47,1418.47,1418.47,1418.47,000,1418.47
2015-09-24,1381.87,1381.87,1381.87,1381.87,000,1381.87
2015-09-23,1421.50,1421.50,1421.50,1421.50,000,1421.50
2015-09-22,1425.39,1425.39,1425.39,1425.39,000,1425.39
2015-09-21,1462.66,1462.66,1462.66,1462.66,000,1462.66
2015-09-18,1453.11,1453.11,1453.11,1453.11,000,1453.11
2015-09-17,1486.46,1486.46,1486.46,1486.46,000,1486.46
2015-09-16,1483.66,1483.66,1483.66,1483.66,000,1483.66
2015-09-15,1469.08,1469.08,1469.08,1469.08,000,1469.08
2015-09-14,1467.73,1467.73,1467.73,1467.73,000,1467.73
2015-09-11,1488.41,1488.41,1488.41,1488.41,000,1488.41
2015-09-10,1494.35,1494.35,1494.35,1494.35,000,1494.35
2015-09-09,1507.15,1507.15,1507.15,1507.15,000,1507.15
2015-09-08,1488.88,1488.88,1488.88,1488.88,000,1488.88
2015-09-07,1471.75,1471.75,1471.75,1471.75,000,1471.75
2015-09-04,1461.46,1461.46,1461.46,1461.46,000,1461.46
2015-09-03,1500.21,1500.21,1500.21,1500.21,000,1500.21
2015-09-02,1471.51,1471.51,1471.51,1471.51,000,1471.51
2015-09-01,1469.86,1469.86,1469.86,1469.86,000,1469.86
2015-08-31,1501.07,1501.07,1501.07,1501.07,000,1501.07
2015-08-28,1509.71,1509.71,1509.71,1509.71,000,1509.71
2015-08-27,1502.86,1502.86,1502.86,1502.86,000,1502.86
2015-08-26,1458.20,1458.20,1458.20,1458.20,000,1458.20
2015-08-25,1483.35,1483.35,1483.35,1483.35,000,1483.35
2015-08-24,1428.08,1428.08,1428.08,1428.08,000,1428.08
2015-08-21,1495.36,1495.36,1495.36,1495.36,000,1495.36
2015-08-20,1534.39,1534.39,1534.39,1534.39,000,1534.39
2015-08-19,1553.51,1553.51,1553.51,1553.51,000,1553.51
2015-08-18,1583.53,1583.53,1583.53,1583.53,000,1583.53
2015-08-17,1592.81,1592.81,1592.81,1592.81,000,1592.81
2015-08-14,1586.83,1586.83,1586.83,1586.83,000,1586.83
2015-08-13,1594.15,1594.15,1594.15,1594.15,000,1594.15
2015-08-12,1575.04,1575.04,1575.04,1575.04,000,1575.04
2015-08-11,1614.72,1614.72,1614.72,1614.72,000,1614.72
2015-08-10,1636.54,1636.54,1636.54,1636.54,000,1636.54
2015-08-07,1612.28,1612.28,1612.28,1612.28,000,1612.28
2015-08-06,1621.56,1621.56,1621.56,1621.56,000,1621.56
2015-08-05,1627.42,1627.42,1627.42,1627.42,000,1627.42
2015-08-04,1611.88,1611.88,1611.88,1611.88,000,1611.88
2015-08-03,1618.28,1618.28,1618.28,1618.28,000,1618.28
2015-07-31,1615.64,1615.64,1615.64,1615.64,000,1615.64
2015-07-30,1603.50,1603.50,1603.50,1603.50,000,1603.50
2015-07-29,1597.86,1597.86,1597.86,1597.86,000,1597.86
2015-07-28,1588.22,1588.22,1588.22,1588.22,000,1588.22
2015-07-27,1581.33,1581.33,1581.33,1581.33,000,1581.33
2015-07-24,1612.80,1612.80,1612.80,1612.80,000,1612.80
2015-07-23,1619.81,1619.81,1619.81,1619.81,000,1619.81
2015-07-22,1621.27,1621.27,1621.27,1621.27,000,1621.27
2015-07-21,1636.42,1636.42,1636.42,1636.42,000,1636.42
2015-07-20,1653.44,1653.44,1653.44,1653.44,000,1653.44
2015-07-17,1635.47,1635.47,1635.47,1635.47,000,1635.47
2015-07-16,1636.12,1636.12,1636.12,1636.12,000,1636.12
2015-07-15,1601.97,1601.97,1601.97,1601.97,000,1601.97
2015-07-14,1616.25,1616.25,1616.25,1616.25,000,1616.25
2015-07-13,1614.42,1614.42,1614.42,1614.42,000,1614.42
2015-07-10,1590.54,1590.54,1590.54,1590.54,000,1590.54
2015-07-09,1549.59,1549.59,1549.59,1549.59,000,1549.59
2015-07-08,1520.88,1520.88,1520.88,1520.88,000,1520.88
2015-07-07,1516.12,1516.12,1516.12,1516.12,000,1516.12
2015-07-06,1526.94,1526.94,1526.94,1526.94,000,1526.94
2015-07-03,1553.60,1553.60,1553.60,1553.60,000,1553.60
2015-07-02,1562.10,1562.10,1562.10,1562.10,000,1562.10
2015-07-01,1575.50,1575.50,1575.50,1575.50,000,1575.50
2015-06-30,1541.66,1541.66,1541.66,1541.66,000,1541.66
2015-06-29,1559.80,1559.80,1559.80,1559.80,000,1559.80
2015-06-26,1608.26,1608.26,1608.26,1608.26,000,1608.26
2015-06-25,1601.12,1601.12,1601.12,1601.12,000,1601.12
2015-06-24,1611.50,1611.50,1611.50,1611.50,000,1611.50
2015-06-23,1620.95,1620.95,1620.95,1620.95,000,1620.95
2015-06-22,1606.62,1606.62,1606.62,1606.62,000,1606.62
2015-06-18,1562.43,1562.43,1562.43,1562.43,000,1562.43
2015-06-17,1567.46,1567.46,1567.46,1567.46,000,1567.46
2015-06-16,1582.23,1582.23,1582.23,1582.23,000,1582.23
2015-06-15,1566.99,1566.99,1566.99,1566.99,000,1566.99
2015-06-12,1597.33,1597.33,1597.33,1597.33,000,1597.33
